# Number of times each instruction is exectued in deme 245
# Sat Feb 18 01:08:20 2017
#  1: update
#  2: Inst 0
#  3: Inst 1
#  4: Inst 2
#  5: Inst 3
#  6: Inst 4
#  7: Inst 5
#  8: Inst 6
#  9: Inst 7
# 10: Inst 8
# 11: Inst 9
# 12: Inst 10
# 13: Inst 11
# 14: Inst 12
# 15: Inst 13
# 16: Inst 14
# 17: Inst 15
# 18: Inst 16
# 19: Inst 17
# 20: Inst 18
# 21: Inst 19
# 22: Inst 20
# 23: Inst 21
# 24: Inst 22
# 25: Inst 23
# 26: Inst 24
# 27: Inst 25
# 28: Inst 26
# 29: Inst 27
# 30: Inst 28
# 31: Inst 29
# 32: Inst 30
# 33: Inst 31
# 34: Inst 32
# 35: Inst 33
# 36: Inst 34
# 37: Inst 35
# 38: Inst 36
# 39: Inst 37

0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
100 0 0 1900 0 0 2500 2500 0 0 0 0 0 0 0 25 25 0 0 0 0 25 2500 25 25 75 50 0 0 0 0 0 0 0 0 0 0 0 25 
200 0 0 1900 0 0 2500 2500 0 0 0 0 0 0 0 25 25 0 0 0 0 25 2500 25 25 75 50 0 0 0 0 0 0 0 0 0 0 0 25 
300 0 0 1900 0 0 2500 2500 0 0 0 0 0 0 0 25 25 0 0 0 0 25 2500 25 25 75 50 0 0 0 0 0 0 0 0 0 0 0 25 
400 0 0 1900 0 0 2500 2500 0 0 0 0 0 0 0 25 25 0 0 0 0 25 2500 25 25 75 50 0 0 0 0 0 0 0 0 0 0 0 25 
500 0 0 1900 0 0 2500 2500 0 0 0 0 0 0 0 25 25 0 0 0 0 25 2500 25 25 75 50 0 0 0 0 0 0 0 0 0 0 0 25 
600 0 0 1900 0 0 2500 2500 0 0 0 0 0 0 0 25 25 0 0 0 0 25 2500 25 25 75 50 0 0 0 0 0 0 0 0 0 0 0 25 
700 0 0 456 0 0 600 600 0 0 0 0 0 0 0 6 6 0 0 0 0 6 600 6 6 18 12 0 0 0 0 0 0 0 0 0 0 0 6 
800 0 0 1900 0 0 2500 2500 0 0 0 0 0 0 0 25 25 0 0 0 0 25 2500 25 25 75 50 0 0 0 0 0 0 0 0 0 0 0 25 
900 0 0 1900 0 0 2500 2500 0 0 0 0 0 0 0 25 25 0 0 0 0 25 2500 25 25 75 50 0 0 0 0 0 0 0 0 0 0 0 25 
1000 0 0 1900 0 0 2500 2500 0 0 0 0 0 0 0 25 25 0 0 0 0 25 2500 25 25 75 50 0 0 0 0 0 0 0 0 0 0 0 25 
1100 0 0 1900 0 0 2500 2500 0 0 0 0 0 0 0 25 25 0 0 0 0 25 2500 25 25 75 50 0 0 0 0 0 0 0 0 0 0 0 25 
1200 0 0 1900 0 0 2500 2500 0 0 0 0 0 0 0 25 25 0 0 0 0 25 2500 25 25 75 50 0 0 0 0 0 0 0 0 0 0 0 25 
1300 0 0 146 0 0 200 200 0 0 0 0 0 0 0 2 4 0 0 0 0 2 200 2 2 6 4 2 0 0 0 0 0 0 0 0 0 0 2 
1400 0 0 1825 0 0 2500 2500 0 0 0 0 0 0 0 25 50 0 0 0 0 25 2500 25 25 75 50 25 0 0 0 0 0 0 0 0 0 0 25 
1500 0 0 1825 0 0 2500 2500 0 0 0 0 0 0 0 25 50 0 0 0 0 25 2500 25 25 75 50 25 0 0 0 0 0 0 0 0 0 0 25 
1600 0 0 1825 0 0 2500 2500 0 0 0 0 0 0 0 25 50 0 0 0 0 25 2500 25 25 75 50 25 0 0 0 0 0 0 0 0 0 0 25 
1700 0 0 1825 0 0 2500 2500 0 0 0 0 0 0 0 25 50 0 0 0 0 25 2500 25 25 75 50 25 0 0 0 0 0 0 0 0 0 0 25 
1800 0 0 1825 0 0 2500 2500 0 0 0 0 0 0 0 25 50 0 0 0 0 25 2500 25 25 75 50 25 0 0 0 0 0 0 0 0 0 0 25 
1900 0 0 1825 0 0 2500 2500 0 0 0 0 0 0 0 25 50 0 0 0 0 25 2500 25 25 75 50 25 0 0 0 0 0 0 0 0 0 0 25 
2000 0 0 1168 0 0 1600 1600 0 0 0 0 0 0 0 16 32 0 0 0 0 16 1600 16 16 48 32 16 0 0 0 0 0 0 0 0 0 0 16 
2100 0 0 1825 0 0 2500 2500 0 0 0 0 0 0 0 25 50 0 0 0 0 25 2500 25 25 75 50 25 0 0 0 0 0 0 0 0 0 0 25 
2200 0 0 1825 0 0 2500 2500 0 0 0 0 0 0 0 25 50 0 0 0 0 25 2500 25 25 75 50 25 0 0 0 0 0 0 0 0 0 0 25 
2300 0 0 1825 0 0 2500 2500 0 0 0 0 0 0 0 25 50 0 0 0 0 25 2500 25 25 75 50 25 0 0 0 0 0 0 0 0 0 0 25 
2400 0 0 1825 0 0 2500 2500 0 0 0 0 0 0 0 25 50 0 0 0 0 25 2500 25 25 75 50 25 0 0 0 0 0 0 0 0 0 0 25 
2500 0 0 1825 0 0 2500 2500 0 0 0 0 0 0 0 25 50 0 0 0 0 25 2500 25 25 75 50 25 0 0 0 0 0 0 0 0 0 0 25 
2600 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2700 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2800 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2900 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3200 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3300 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3400 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3500 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3600 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3700 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3800 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3900 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4200 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4300 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4400 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4500 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4600 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4700 0 0 1168 0 0 1600 1600 0 0 0 0 0 0 0 16 16 16 0 0 16 16 1600 16 16 48 32 0 0 0 0 0 0 0 0 0 0 0 16 
4800 0 0 1825 0 0 2500 2500 0 0 0 0 0 0 0 25 25 25 0 0 25 25 2500 25 25 75 50 0 0 0 0 0 0 0 0 0 0 0 25 
4900 0 0 1825 0 0 2500 2500 0 0 0 0 0 0 0 25 25 25 0 0 25 25 2500 25 25 75 50 0 0 0 0 0 0 0 0 0 0 0 25 
5000 0 0 1825 0 0 2500 2500 0 0 0 0 0 0 0 25 25 25 0 0 25 25 2500 25 25 75 50 0 0 0 0 0 0 0 0 0 0 0 25 
5100 0 0 1825 0 0 2500 2500 0 0 0 0 0 0 0 25 25 25 0 0 25 25 2500 25 25 75 50 0 0 0 0 0 0 0 0 0 0 0 25 
5200 0 0 1825 0 0 2500 2500 0 0 0 0 0 0 0 25 25 25 0 0 25 25 2500 25 25 75 50 0 0 0 0 0 0 0 0 0 0 0 25 
5300 0 0 1800 0 0 2500 2500 0 0 0 0 0 25 0 25 25 0 25 0 0 0 2500 25 25 75 50 0 0 0 0 0 0 0 25 0 0 0 25 
5400 0 0 1800 0 0 2500 2500 0 0 0 0 0 25 0 25 25 0 25 0 0 0 2500 25 25 75 50 0 0 0 0 0 0 0 25 0 0 0 25 
